title,class_type,class_related,location,duration,start,end,assigned_professors,others,makeup
Introduction to Probability and Statistics,LEC01,"CI01,CI02,CI03",,1.5,,,,,
Introduction to Probability and Statistics,LEC02,"CI01,CI02,CI03",,1.5,,,,,
Introduction to Probability and Statistics,CBL01,CI01,,2,,,,,
Introduction to Probability and Statistics,CBL02,CI02,,2,,,,,
Introduction to Probability and Statistics,CBL03,CI03,,2,,,,,
Elements of Software Construction,CBL01,CI01,,1.5,,,,,
Elements of Software Construction,CBL01,CI02,,1.5,,,,,
Elements of Software Construction,CBL01,CI03,,1.5,,,,,
Elements of Software Construction,CBL02,CI01,,1.5,,,,,
Elements of Software Construction,CBL02,CI02,,1.5,,,,,
Elements of Software Construction,CBL02,CI03,,1.5,,,,,
Elements of Software Construction,CBL03,CI01,,2,,,,,
Elements of Software Construction,CBL03,CI02,,2,,,,,
Elements of Software Construction,CBL03,CI03,,2,,,,,
Computer System Engineering,CBL01,CI01,,1.5,,,,,
Computer System Engineering,CBL01,CI02,,1.5,,,,,
Computer System Engineering,CBL01,CI03,,1.5,,,,,
Computer System Engineering,CBL02,CI01,,1.5,,,,,
Computer System Engineering,CBL02,CI02,,1.5,,,,,
Computer System Engineering,CBL02,CI03,,1.5,,,,,
Computer System Engineering,LAB01,"CI01,CI02,CI03",,2,,,,,
User Interface Design and Implementation,CBL01,CI01,,1.5,,,,,
User Interface Design and Implementation,CBL02,CI01,,1.5,,,,,
User Interface Design and Implementation,CBL03,CI01,,2,,,,,
Graphics & Visualisation,CBL01,CI01,,1.5,,,,,
Graphics & Visualisation,CBL02,CI01,,1.5,,,,,
Graphics & Visualisation,CBL03,CI01,,2,,,,,
Security,CBL01,CI01,,1.5,,,,,
Security,CBL02,CI01,,1.5,,,,,
Security,LAB01,CI01,,2,,,,,
